Level,Subject,Year,Session month,Month code,Folder,QP PDF filename,Expected MS PDF filename,Paper ID
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit1-2010-06-11-qp.pdf","Mathematics-0580-2010-unit1-2010-06-11-ms.pdf","mathematics-0580-2010-unit1-june-p11-qp"
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit2-2010-06-21-qp.pdf","Mathematics-0580-2010-unit2-2010-06-21-ms.pdf","mathematics-0580-2010-unit2-june-p21-qp"
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit4-2010-06-41-qp.pdf","Mathematics-0580-2010-unit4-2010-06-41-ms.pdf","mathematics-0580-2010-unit4-june-p41-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit1-2010-11-12-qp.pdf","Mathematics-0580-2010-unit1-2010-11-12-ms.pdf","mathematics-0580-2010-unit1-november-p12-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit2-2010-11-22-qp.pdf","Mathematics-0580-2010-unit2-2010-11-22-ms.pdf","mathematics-0580-2010-unit2-november-p22-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit3-2010-11-32-qp.pdf","Mathematics-0580-2010-unit3-2010-11-32-ms.pdf","mathematics-0580-2010-unit3-november-p32-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit4-2010-11-42-qp.pdf","Mathematics-0580-2010-unit4-2010-11-42-ms.pdf","mathematics-0580-2010-unit4-november-p42-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit1-2011-06-12-qp.pdf","Mathematics-0580-2011-unit1-2011-06-12-ms.pdf","mathematics-0580-2011-unit1-june-p12-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit2-2011-06-22-qp.pdf","Mathematics-0580-2011-unit2-2011-06-22-ms.pdf","mathematics-0580-2011-unit2-june-p22-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit3-2011-06-32-qp.pdf","Mathematics-0580-2011-unit3-2011-06-32-ms.pdf","mathematics-0580-2011-unit3-june-p32-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit4-2011-06-42-qp.pdf","Mathematics-0580-2011-unit4-2011-06-42-ms.pdf","mathematics-0580-2011-unit4-june-p42-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit1-2011-11-12-qp.pdf","Mathematics-0580-2011-unit1-2011-11-12-ms.pdf","mathematics-0580-2011-unit1-november-p12-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit2-2011-11-22-qp.pdf","Mathematics-0580-2011-unit2-2011-11-22-ms.pdf","mathematics-0580-2011-unit2-november-p22-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit3-2011-11-32-qp.pdf","Mathematics-0580-2011-unit3-2011-11-32-ms.pdf","mathematics-0580-2011-unit3-november-p32-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit4-2011-11-42-qp.pdf","Mathematics-0580-2011-unit4-2011-11-42-ms.pdf","mathematics-0580-2011-unit4-november-p42-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit1-2012-06-12-qp.pdf","Mathematics-0580-2012-unit1-2012-06-12-ms.pdf","mathematics-0580-2012-unit1-june-p12-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit2-2012-06-22-qp.pdf","Mathematics-0580-2012-unit2-2012-06-22-ms.pdf","mathematics-0580-2012-unit2-june-p22-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit3-2012-06-32-qp.pdf","Mathematics-0580-2012-unit3-2012-06-32-ms.pdf","mathematics-0580-2012-unit3-june-p32-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit4-2012-06-42-qp.pdf","Mathematics-0580-2012-unit4-2012-06-42-ms.pdf","mathematics-0580-2012-unit4-june-p42-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit1-2012-11-12-qp.pdf","Mathematics-0580-2012-unit1-2012-11-12-ms.pdf","mathematics-0580-2012-unit1-november-p12-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit2-2012-11-22-qp.pdf","Mathematics-0580-2012-unit2-2012-11-22-ms.pdf","mathematics-0580-2012-unit2-november-p22-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit3-2012-11-32-qp.pdf","Mathematics-0580-2012-unit3-2012-11-32-ms.pdf","mathematics-0580-2012-unit3-november-p32-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit4-2012-11-42-qp.pdf","Mathematics-0580-2012-unit4-2012-11-42-ms.pdf","mathematics-0580-2012-unit4-november-p42-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit1-2013-06-12-qp.pdf","Mathematics-0580-2013-unit1-2013-06-12-ms.pdf","mathematics-0580-2013-unit1-june-p12-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit2-2013-06-22-qp.pdf","Mathematics-0580-2013-unit2-2013-06-22-ms.pdf","mathematics-0580-2013-unit2-june-p22-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit3-2013-06-32-qp.pdf","Mathematics-0580-2013-unit3-2013-06-32-ms.pdf","mathematics-0580-2013-unit3-june-p32-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit4-2013-06-42-qp.pdf","Mathematics-0580-2013-unit4-2013-06-42-ms.pdf","mathematics-0580-2013-unit4-june-p42-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit1-2013-11-12-qp.pdf","Mathematics-0580-2013-unit1-2013-11-12-ms.pdf","mathematics-0580-2013-unit1-november-p12-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit2-2013-11-22-qp.pdf","Mathematics-0580-2013-unit2-2013-11-22-ms.pdf","mathematics-0580-2013-unit2-november-p22-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit3-2013-11-32-qp.pdf","Mathematics-0580-2013-unit3-2013-11-32-ms.pdf","mathematics-0580-2013-unit3-november-p32-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit4-2013-11-42-qp.pdf","Mathematics-0580-2013-unit4-2013-11-42-ms.pdf","mathematics-0580-2013-unit4-november-p42-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit1-2016-06-12-qp.pdf","Mathematics-0580-2016-unit1-2016-06-12-ms.pdf","mathematics-0580-2016-unit1-june-p12-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit2-2016-06-22-qp.pdf","Mathematics-0580-2016-unit2-2016-06-22-ms.pdf","mathematics-0580-2016-unit2-june-p22-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit3-2016-06-32-qp.pdf","Mathematics-0580-2016-unit3-2016-06-32-ms.pdf","mathematics-0580-2016-unit3-june-p32-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit4-2016-06-42-qp.pdf","Mathematics-0580-2016-unit4-2016-06-42-ms.pdf","mathematics-0580-2016-unit4-june-p42-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit1-2016-11-12-qp.pdf","Mathematics-0580-2016-unit1-2016-11-12-ms.pdf","mathematics-0580-2016-unit1-november-p12-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit2-2016-11-22-qp.pdf","Mathematics-0580-2016-unit2-2016-11-22-ms.pdf","mathematics-0580-2016-unit2-november-p22-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit3-2016-11-32-qp.pdf","Mathematics-0580-2016-unit3-2016-11-32-ms.pdf","mathematics-0580-2016-unit3-november-p32-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit4-2016-11-42-qp.pdf","Mathematics-0580-2016-unit4-2016-11-42-ms.pdf","mathematics-0580-2016-unit4-november-p42-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit1-2017-06-12-qp.pdf","Mathematics-0580-2017-unit1-2017-06-12-ms.pdf","mathematics-0580-2017-unit1-june-p12-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit2-2017-06-22-qp.pdf","Mathematics-0580-2017-unit2-2017-06-22-ms.pdf","mathematics-0580-2017-unit2-june-p22-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit3-2017-06-32-qp.pdf","Mathematics-0580-2017-unit3-2017-06-32-ms.pdf","mathematics-0580-2017-unit3-june-p32-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit4-2017-06-42-qp.pdf","Mathematics-0580-2017-unit4-2017-06-42-ms.pdf","mathematics-0580-2017-unit4-june-p42-qp"
O-Level,"Mathematics",2017,"October-November session",11,"Mathematics-0580","Mathematics-0580-2017-unit1-2017-11-12-qp.pdf","Mathematics-0580-2017-unit1-2017-11-12-ms.pdf","mathematics-0580-2017-unit1-november-p12-qp"
O-Level,"Mathematics",2017,"October-November session",11,"Mathematics-0580","Mathematics-0580-2017-unit2-2017-11-22-qp.pdf","Mathematics-0580-2017-unit2-2017-11-22-ms.pdf","mathematics-0580-2017-unit2-november-p22-qp"
O-Level,"Mathematics",2017,"October-November session",11,"Mathematics-0580","Mathematics-0580-2017-unit3-2017-11-32-qp.pdf","Mathematics-0580-2017-unit3-2017-11-32-ms.pdf","mathematics-0580-2017-unit3-november-p32-qp"
O-Level,"Mathematics",2017,"October-November session",11,"Mathematics-0580","Mathematics-0580-2017-unit4-2017-11-42-qp.pdf","Mathematics-0580-2017-unit4-2017-11-42-ms.pdf","mathematics-0580-2017-unit4-november-p42-qp"
